Words,Count
choice,1
nous,1
verrons,1
arrange,2
compatriot’s,1
weak,1
creightons,2
schemmerhornsmiths,1
flattering,1
attentions,3
harm,1
event,1
conspirator,1
debt,2
vi,1
lit,2
enlightening,1
elderly,1
roués,1
listened,2
becoming,1
gravity,1
apart,2
four,7
darkred,1
collar,2
venetian,1
lace,8
highbacked,1
ebony,1
ivory,3
queen,1
throne,1
graciously,2
receiving,2
twice,5
creighton’s,3
darkgreen,1
embroidered,1
tree,1
design,1
wood,3
inch,1
thick,3
shade,1
blended,1
apartment,2
lampshades,1
warmth,7
transatlantic,1
parts,1
shaken,1
conversation,3
shoulder,1
womanly,1
regal,2
combined,2
impression,2
c’est,1
moi,1
elect,1
win,3
favour,1
sincere,2
unbounded,1
bitter,6
superfluous,1
gates,1
genuinely,2
wondered,4
gracious,2
content,5
bask,1
divined,2
natural,1
abilities,1
sympathy,3
conveyed,1
donow,1
unwonted,1
blind,1
firstit,1
youngest,1
childthe,1
dead,6
fogey,1
landed,1
sudden,6
statement,1
racial,1
differences,1
climate,1
electrifying,1
fascinates,1
gallantly,1
reposeful,1
drop,3
tempted,1
hearts,1
weary,2
profligate’s,1
invariably,2
drive,3
understood,2
graceful,1
misconstrued,1
greet,1
comer,1
regarded,6
closely,3
convey,2
subtle,3
fell,3
wondering,1
abundant,1
harvest,1
wrong,7
mess,2
meagre,1
neutral,1
makeup,1
dragged,1
moulded,1
rested,3
hurt,4
nasty,3
andshe’ll,1
forgetwhen,1
gets,2
forgive,3
remarkable,1
answered,1
mabel’s,2
coquettish,1
reproach,1
chaffed,1
forgetting,1
mother’s,4
equally,2
discomforting,1
difficult,1
embarrass,1
unindividual,1
possibly,3
stupid,2
precisely,1
hypnotic,1
fascinating,1
what’s,3
titlenot,1
norry,1
chronic,1
amahindiscreet,1
produce,1
englishmanwith,1
huffily,1
caught,3
fever,1
either,2
children’s,1
diseases,1
titlefever,1
among,5
late,3
catch,1
butler,1
mumps,1
funniest,1
case,4
ellis,1
davis,1
london,8
wild,3
cockney,1
accent,1
calls,1
‘daivis,1
‘todai,1
princess,1
‘wailes,1
‘paiper,1
‘caike,1
‘laidy,1
letters,2
bet,1
prospects,1
hotel,6
servants,1
barber,1
ear,4
