Words,Count
persuaded,23
remarkably,3
enquired,8
underkeepers,1
lately,27
vincent,3
murder,16
information,13
memory,14
changed,16
incongruous,2
manners,4
birth,9
education,18
gentlewoman,8
certainly,52
mistaken,35
rested,2
satisfied,54
enquiry,6
v,13
adventures,6
remainder,12
spent,22
melancholy,28
contemplation,6
destitute,4
necessaries,4
subsist,2
town,73
reasonable,14
apply,14
grief,29
banished,1
food,7
uneasy,27
nourishment,1
eat,12
morsel,6
forty,9
hours,30
allowance,4
eating,3
packet,6
sealed,2
informing,5
required,11
opened,27
unfolding,1
pieces,7
blank,2
paper,14
successively,1
discovered,52
guinea,13
wrapt,2
care,76
inmost,1
vastly,4
surprized,38
friends,41
apprized,6
untainted,1
gave,156
message,15
mistake,18
positive,17
parcel,1
belongs,6
scrupulous,2
finding,17
owner,4
proclamation,1
claim,6
contents,8
deliver,12
claimant,2
calmly,1
redemption,2
hungry,3
supply,8
snuff,1
sorrow,8
missed,4
box,9
dexterously,1
suspected,16
man’s,20
overwarm,1
thief,16
eagerly,27
sought,3
bluntly,4
charge,15
visible,12
emotion,7
muscle,1
pause,1
moments,6
solemnity,1
follows,18
unconcerned,1
groundless,8
censures,4
stranger,16
compliment,21
heard,155
cheat,4
gamesters,2
wear,9
martyr,3
eighteenpence,2
won,4
search,13
outside,2
resembled,2
pitchers,1
belides,1
staggered,4
real,34
value,29
capricious,1
willingly,14
regaining,2
advice,32
producing,4
returned,88
belonged,9
uplifted,1
suffer,36
knowingly,1
detain,5
goods,15
wickeder,1
provided,16
believer,1
cooper,1
wide,2
sin,7
sinner,3
sneer,12
believes,1
suppose,54
insinuate,5
stole,6
knows,35
reward,11
hesitation,13
accorded,1
angry,26
credit,9
allegation,1
offended,34
believing,4
gone,63
disadvantage,7
confined,16
cheated,2
intended,40
attack,10
obtained,21
testified,3
compassion,14
invited,8
dinner,37
afternoon,30
indulged,6
halfpence,1
afterwards,52
shillings,10
favoured,1
leave,114
surprizing,4
somewhat,19
overzealous,1
believers,1
divinity,3
happened,89
fortunately,2
unfortunately,5
hand,77
dealt,5
evening,84
shunned,1
waver,1
truer,2
paid,42
visit,84
lend,10
experiments,1
confirm,5
alacrity,2
gladly,2
complied,15
played,8
jade,2
tricks,3
winning,1
harangue,1
reflect,17
rascality,1
unknown,5
expressed,32
obeyed,8
vi,13
behaviour,104
endeavours,9
eight,7
nine,10
interview,14
equal,27
immaterial,4
ceremonies,4
inquire,2
whereupon,1
shewn,29
recollected,11
distressful,1
excuse,43
hurry,14
spirits,68
acknowledgments,12
concluding,5
heartily,44
concerned,25
bursting,7
agony,10
cried,177
o,90
captain,138
gracious,8
chair,47
loose,5
whilst,23
affectionate,11
soothe,9
comfort,59
relief,9
friendly,10
consolations,2
vented,5
flood,5
composed,6
unhappily,5
mentioning,19
relapsed,2
dear,344
disgraced,1
unworthy,9
daughter”here,1
stopped,5
vent,6
shame,13
pleases,10
rage,18
recovered,37
agonies,15
critical,3
discharges,2
physicians,7
effectually,5
relieve,11
remedies,1
materia,1
medica,1
faculties,1
perceived,38
silent,12
addressing,13
bewitching,4
softness,4
amazement,3
raised,17
cease,3
sorrows,2
prisonsurely,1
murder”at,1
started,9
repeating,11
music,16
earsyou,1
commitment,3
glory,8
delight,14
reparation,1
yes,35
drove,8
unkind,9
drop,12
blood,26
reached,7
handindeed,1
washed,2
itbut,1
